,geo,time,cell_phones_total
990,bih,1998,25181.0
991,bih,1999,52607.0
992,bih,2000,93386.0
993,bih,2001,444711.0
994,bih,2002,748780.0
995,bih,2003,1074790.0
996,bih,2004,1407441.0
997,bih,2005,1594367.0
998,bih,2006,1887820.0
999,bih,2007,2450425.0
1000,bih,2008,3179036.0
1001,bih,2009,3257239.0
1002,bih,2010,3110233.0
1003,bih,2011,3171283.0
1004,bih,2012,3357541.0
1005,bih,2013,3488319.0
1006,bih,2014,3491188.0
1007,bih,2015,3443520.0
1008,bih,2016,3404043.0
1009,bih,2017,3440085.0
1010,bih,2018,3461058.0
1011,bih,2019,3694050.0
1012,blr,1960,0.0
1013,blr,1965,0.0
1014,blr,1970,0.0
1015,blr,1975,0.0
1016,blr,1976,0.0
1017,blr,1977,0.0
1018,blr,1978,0.0
1019,blr,1979,0.0
1020,blr,1980,0.0
1021,blr,1981,0.0
1022,blr,1982,0.0
1023,blr,1983,0.0
1024,blr,1984,0.0
1025,blr,1985,0.0
1026,blr,1986,0.0
1027,blr,1987,0.0
1028,blr,1988,0.0
1029,blr,1989,0.0
1030,blr,1990,0.0
1031,blr,1991,0.0
1032,blr,1992,0.0
1033,blr,1993,324.0
1034,blr,1994,1724.0
1035,blr,1995,5897.0
1036,blr,1996,6548.0
1037,blr,1997,8167.0
1038,blr,1998,12155.0
1039,blr,1999,23457.0
1040,blr,2000,49353.0
1041,blr,2001,138329.0
1042,blr,2002,462630.0
1043,blr,2003,1118000.0
1044,blr,2004,2239287.0
1045,blr,2005,4099500.0
1046,blr,2006,5960000.0
1047,blr,2007,6960000.0
1048,blr,2008,8128000.0
1049,blr,2009,9686200.0
1050,blr,2010,10332900.0
1051,blr,2011,10694900.0
1052,blr,2012,10676471.0
1053,blr,2013,11114440.0
1054,blr,2014,11401927.0
1055,blr,2015,11448281.0
1056,blr,2016,11439866.0
1057,blr,2017,11415141.0
1058,blr,2018,11619651.0
1059,blz,1960,0.0
