ID,gender,age,group,time
12349,F,43,F40-44,7.130277778
12350,F,54,F50-54,7.051666667
12351,F,31,F30-34,7.276944445
12352,F,23,F18-24,7.100833333
12353,F,49,F45-49,7.100833333
12354,F,62,F60-64,7.051944445
12355,M,47,M45-49,6.848055555
12356,M,29,M25-29,7.126944445
12357,M,44,M40-44,7.131111112
12358,F,46,F45-49,7.126666667
12359,F,39,F35-39,7.063611112
12360,F,45,F45-49,7.096944445
12361,M,46,M45-49,7.096944445
12362,F,37,F35-39,6.939166667
12363,F,25,F25-29,7.227222222
12364,M,33,M30-34,7.226944445
12365,F,28,F25-29,7.227222222
12366,F,30,F30-34,7.226944445
12367,F,58,F55-59,7.0525
12368,M,37,M35-39,7.318611112
12369,M,39,M35-39,7.2575
12370,M,24,M18-24,7.182222222
12371,M,46,M45-49,7.098611112
12372,F,39,F35-39,7.098888888
12373,M,63,M60-64,7.1675
12374,F,42,F40-44,7.179722222
12375,M,34,M30-34,7.3075
12376,M,54,M50-54,6.915555555
12377,M,41,M40-44,6.906944445
12378,M,48,M45-49,7.104166667
12379,M,48,M45-49,7.104444445
12380,F,34,F30-34,6.995277778
12381,F,28,F25-29,6.906944445
12382,F,52,F50-54,7.021944445
12383,F,44,F40-44,7.021666667
12384,F,44,F40-44,6.993888888
12385,M,58,M55-59,7.313055555
12386,F,40,F40-44,7.231388888
12387,M,39,M35-39,7.103611112
12388,F,38,F35-39,7.055833333
12389,F,30,F30-34,7.29
12390,F,27,F25-29,7.106388888
12391,F,44,F40-44,7.316111112
12392,F,31,F30-34,7.068611112
12393,M,32,M30-34,7.068611112
12394,F,60,F60-64,6.990277778
12395,F,31,F30-34,7.196111112
12396,M,38,M35-39,7.383888888
12397,M,30,M30-34,7.196388888
12398,M,52,M50-54,7.061388888
12399,F,41,F40-44,7.061388888
12400,F,35,F35-39,6.996666667
12401,F,33,F30-34,7.233888888
12402,M,39,M35-39,6.778333333
12403,F,65,F65+,7.093611112
